ordine;part_number;descrizione;lotto;TAG_Stampo;codice_pressa;data_fine
477781;3332;RACCORDO DIRITTO 15M/TUBO P;20M0054FA;TAG 21;SE012;29/12/2020 22:16
477784;3128;CORPO COBB FISSO 22M/15F CON;20M0062FA;TAG 39;SE009;04/01/2021 21:50
477785;3223;"RACC.DIRITTO PED.TUBO ""P"", 15F";20M0063FA;TAG 3;SE002;28/12/2020 21:58
477786;4456;ADATTATORE MDI PER TY-CARE.48;20M0064FA;TAG 167;SE002;17/12/2020 21:50
477816;10004101;COPERCHIO BARR.S/HYGR.S IN PP;20M0067FA;TAG 218;ST312;21/12/2020 04:17
477818;10084085;FONDO FILTRO HYGROBAC'S PP;20M0068FA;TAG 209;SE602;07/01/2021 10:22
477838;4151;STELO X VALV. TENUTA NEBULIZZ.;20M0069FA;TAG 220;SE018;21/12/2020 21:33
477852;4491;ADATTAT.22M UMIDIF. X VENTURI;20M0071FA;TAG 49;SE011;12/01/2021 21:21
477853;3808;RACC.15M X TUBO TRACHEALE;20M0072FA;TAG 24;SE019;14/12/2020 21:29
477854;3258;RACC.22F/22M P.TEMP.D.7.5 F&P;20M0073FA;TAG 66;SE013;04/01/2021 21:51
477856;3013;BOCCAGLIO 22M, 15M;20M0075FA;TAG 16;SE016;21/12/2020 21:31
477857;10141366;RACC FLEX 22F CON SEDE CAVETTO;20M0076FA;TAG 16;SE016;22/12/2020 21:10
477858;3264;RACC. ANG.X UMIDIF. F&P MR850;20M0077FA;TAG 35;SE016;29/12/2020 22:19
477859;PT00015827;BOCCOLA SACCA SONDINO TY-CARE PP;20M0078FA;TAG 199;SE016;04/01/2021 21:56
477860;3277;RACC.3 VIE REBBI PARALLELI;20M0079FA;TAG 176-B;SE011;21/12/2020 21:23
477861;3292;RAC.3 VIE REBBI PARALL. T. EXT;20M0080FA;TAG 176-B;SE011;29/12/2020 22:21
477862;3293;RACC.3 VIE REBBI PARALL.22M/;20M0081FA;TAG 176-B;SE011;04/01/2021 21:36
477974;3046;RACC FLEX DEHP FREE TUBO A 22F;20M0107FA;TAG 253;SE024;17/12/2020 21:30
477975;3391;C. HYGROSTER,STERIVENT 22F/15M;20M0108FA;TAG 130;SE026;22/12/2020 21:08
478001;4810;COPERCHIO FILTRO HYGROLIFE II;20M0110FA;TAG 177;SE016;16/12/2020 21:19
478016;10139858;FONDO BBAC PP 22F;20M0113FA;TAG 178;SE017;14/01/2021 21:55
478021;3850;CORPO TRACHEOLIFE 2;20M0114FA;TAG 219;SE608;04/01/2021 05:01
478022;3393;ANIMA PORTA BOBINA HYGROSTER;20M0115FA;TAG 65;SE603;21/12/2020 21:27
478023;4842;VALV.DIGITVENT 14CH TY-CARE AD;20M0116FA;TAG 187;SE014;11/01/2021 21:31
478024;10004105;FONDO BARRIERBAC'S 22M/15F PP;20M0117FA;TAG 60;SE007;19/01/2021 01:15
478043;10005251;RACC. 'L' 15M - 15F/22M;20M0152FA;TAG 252;SE013;17/12/2020 21:31
478051;4456;ADATTATORE MDI PER TY-CARE.48;20M0153FA;TAG 167;SE002;17/12/2020 21:35
478109;3327;TAPPO 22F;20M0160FA;TAG 94;SE017;21/12/2020 21:25
478110;10139857;COPERCHIO BBAC PP 22M/15F;20M0161FA;TAG 31;SE025;29/12/2020 22:20
478111;10004101;COPERCHIO BARR.S/HYGR.S IN PP;20M0162FA;TAG 218;ST312;08/01/2021 01:36
478112;4305;CIL.APL GEOM VALVE SENZA SC;20M0163FA;TAG 86;SE003;04/01/2021 21:36
478132;4154;TAPPO PER CONNETTORI 22M;20M0164FA;TAG 112;SE019;17/12/2020 21:32
478133;3070;RACCORDO GIREVOLE PER TUBO P;20M0165FA;TAG 210-B;SE012;21/12/2020 21:30
478160;4438;TAPPO PER CORPO DIGITVENT;20M0171FA;TAG 126;SE002;04/01/2021 21:33
478199;3336;RACC. DIRITTO 22F,TUBO 'A'/15F;20M0174FA;TAG 94;SE017;29/12/2020 22:20
478250;4465;RACCORDO 22M-15F X TY-CARE;20M0179FA;TAG 173;SE015;29/12/2020 22:17
478251;10005250;RACC.DIRITTO 22M/19F,22M/VALV.;20M0180FA;TAG 94;SE017;11/01/2021 21:59
478257;10139855;COPERCHIO HBAC PP 22M/15F;20M0181FA;TAG 31;SE025;11/01/2021 22:17
478258;4838;RACC.22M/15F-22M X URM CAR.LAT;20M0182FA;TAG 175;SE025;14/01/2021 21:50
478259;4832;RACC.22M/15F X URM CARICO ALTO;20M0183FA;TAG 175;SE025;20/01/2021 21:46
478260;10139856;FONDO HBAC/BBAC PP 22F/15M;20M0184FA;TAG 178;SE017;19/01/2021 01:19
478261;4936;FONDO FILTRO HYGROLIFE II;20M0185FA;TAG 179;SE016;11/01/2021 21:32
478262;4810;COPERCHIO FILTRO HYGROLIFE II;20M0186FA;TAG 177;SE017;25/01/2021 21:21
478309;10141368;RACCORDO FLEX TUBO PED 22F;20M0187FA;TAG 29;SE024;13/01/2021 22:47
478310;3030;CORPO NEBULIZZATORE AD UOVO;20M0188FA;TAG 214;SE011;25/01/2021 21:25
478312;3391;C. HYGROSTER,STERIVENT 22F/15M;20M0189FA;TAG 130;SE026;11/01/2021 21:58
478313;3064;TAPPO PER INTERNI D.10.00 PER;20M0190FA;TAG 13;SE020;29/12/2020 22:18
478314;3071;RACCORDO GIREVOLE X MOUNT 15M;20M0191FA;TAG 40;SE012;04/01/2021 21:54
478315;3273;RACCORDO X COD.4832 + SEDE URM;20M0192FA;TAG 202-B;SE003;19/01/2021 21:33
478316;3285;RACCORDO TIPO Y PER TUBO P;20M0193FA;TAG 9;SE604;04/01/2021 21:47
478318;3291;RAC.Y 22M/15F,TUBO P.CON PRESE;20M0195FA;TAG 9;SE604;28/12/2020 21:57
478319;3331;RACC. DIRITTO 22M/15F TUBO P.;20M0196FA;TAG 94;SE017;04/01/2021 21:48
478320;3353;COPERCHIO RACCOGLICOND.TUBO A;20M0197FA;TAG 17;SE018;04/01/2021 21:42
478321;3349;COPERCHIO RACC.COND. TUBO 'P';20M0233FA;TAG 17;SE018;11/01/2021 21:56
478322;3359;CONNETTORE CONO LUER X FILTRI;20M0234FA;TAG 46;SE020;11/01/2021 21:37
478323;3369;FONDO FILTRO STERIVENT MINI;20M0235FA;TAG 133;SE027;13/01/2021 22:54
478324;3369;FONDO FILTRO STERIVENT MINI;20M0236FA;TAG 133;SE027;20/01/2021 22:02
478325;3367;COPERCHIO NUOVO FILTRO PED.;20M0237FA;TAG 128;SE026;25/01/2021 21:38
478328;3373;FONDO HYGROBABY CON 15F;20M0238FA;TAG 84;SE005;11/01/2021 21:46
478329;3375;FONDO HYGROBOY CON 22M/15F;20M0239FA;TAG 84;SE005;19/01/2021 01:36
478330;3371;COPERCHIO HYGROBABY 15M FORO;20M0240FA;TAG 85;SE006;11/01/2021 21:44
478331;3374;COPERCHIO HYGROBOY 22F/15M;20M0241FA;TAG 85;SE005;25/01/2021 21:44
478332;3381;COPERCHIO BARRIER/HYGROBAC S;20M0242FA;TAG 122;SE006;20/01/2021 21:39
478346;3068;CORPO COBB GIREVOLE;20M0246FA;TAG 229;SE601;12/01/2021 21:28
478347;PT00015828;TAPPO INFERIORE DIGITVENT PP;20M0247FA;TAG 186;SE028;04/01/2021 21:41
478348;PT00015829;COPERCHIO SUPERIORE DIGITVENT PP;20M0248FA;TAG 186;SE028;04/01/2021 21:39
478349;3393;ANIMA PORTA BOBINA HYGROSTER;20M0249FA;TAG 65;SE603;28/12/2020 22:04
478351;3850;CORPO TRACHEOLIFE 2;20M0250FA;TAG 219;SE608;14/01/2021 08:19
478352;3850;CORPO TRACHEOLIFE 2;20M0251FA;TAG 219;SE608;22/01/2021 03:32
478355;PT00078083;COPERC.+PORTA O2 TRACHEO.III;20M0253FA;TAG 231;SE603;22/01/2021 02:14
478382;4305;CIL.APL GEOM VALVE SENZA SC;20M0254FA;TAG 86;SE003;11/01/2021 21:40
478383;3388;FONDO FILTRO STERIVENT 'S';20M0255FA;TAG 38;SE023;11/01/2021 21:48
478384;3389;FONDO FILTRO STERIVENT 22M/15F;20M0256FA;TAG 38;SE023;13/01/2021 22:54
478385;3394;FONDO FILTRO STERIVENT;20M0257FA;TAG 38;SE023;25/01/2021 21:58
478386;3390;FONDO FILTRO HYGROSTER 22M/15F;20M0258FA;TAG 38;SE023;28/01/2021 21:28
478387;3850;CORPO TRACHEOLIFE 2;20M0259FA;TAG 219;SE608;30/01/2021 05:48
478388;4126;CORPO FILTRO SPIROM. 33M/30F;20M0260FA;TAG 83;SE007;26/01/2021 21:21
478389;4150;BOCCOLA GUIDA STELO X VALVOLA;20M0261FA;TAG 220;SE018;11/01/2021 21:47
478390;4152;NERVATURA X STELO VALV. TENUTA;20M0262FA;TAG 220;SE018;13/01/2021 22:47
478391;4153;RACC. APRI VALVOLA X COPERCHIO;20M0263FA;TAG 220;SE018;12/01/2021 21:21
478392;4300;CILINDRO .APL GEOM.VALVE+SC.;20M0264FA;TAG 86;SE013;20/01/2021 21:56
478393;3393;ANIMA PORTA BOBINA HYGROSTER;20M0265FA;TAG 65;SE603;28/12/2020 21:57
478394;4301;APL GEOM.VALVE 15M SENZA SCAR.;20M0266FA;TAG 91;SE006;11/01/2021 22:03
478397;4800;COPERCHIO 22F/15M CON CONO;20M0268FA;TAG 153;SE012;12/01/2021 21:20
478398;4462;COPERCHIO VALVOLA PER TY-CARE;20M0269FA;TAG 163;SE028;11/01/2021 21:31
478399;4468;TAPPOXCHIUSURA SONDINO TY-CARE;20M0270FA;TAG 45;SE020;19/01/2021 01:35
478402;4549;CORPO MASCH.ANEST. INF.'0'15M;20M0273FA;TAG 74;SE002;11/01/2021 22:00
478403;4892;RACC.3 VIE REBBI PARALLELI;20M0274FA;TAG 27;SE003;19/01/2021 01:08
478404;4544;CORPO MASCH.AN.LARGE ADULT;20M0275FA;TAG 75;SE008;13/01/2021 22:49
478405;4546;CORPO MASCH.ANEST.SMALL ADULT;20M0276FA;TAG 75;SE008;14/01/2021 21:51
478406;4545;CORPO MASCHERA ANEST.MEDIUM AD;20M0277FA;TAG 75;SE008;26/01/2021 21:29
478410;PT00108835;GUEDEL CANNULA SIZE 9 CM;20M0278FA;TAG 143;SE010;14/01/2021 21:59
478477;10005251;RACC. 'L' 15M - 15F/22M;20M0283FA;TAG 252;SE013;11/01/2021 21:55
478478;10005252;RACC.'L' 15M-15F/22M CON LUER;20M0284FA;TAG 252;SE013;13/01/2021 22:51
478490;3068;CORPO COBB GIREVOLE;20M0287FA;TAG 229;SE605;25/01/2021 21:43
478510;PT00108834;GUEDEL CANNULA SIZE 8 CM;20M0288FA;TAG 143;SE010;22/01/2021 02:27
478511;PT00108836;GUEDEL CANNULA SIZE 10 CM;20M0289FA;TAG 143;SE010;28/01/2021 21:19
478557;4305;CIL.APL GEOM VALVE SENZA SC;20M0291FA;TAG 86;SE003;13/01/2021 22:48
478569;3210;CONN TIPO T 22M/15F 22F 22M;20M0292FA;TAG 228;SE604;12/01/2021 21:23
478576;3379;FONDO FILTRO HYGROBAC 'S';20M0296FA;TAG 233-D;SE601;19/01/2021 01:17
478692;3342;RACC. DIR.22M/15F 15M FOROLUER;20M0324FA;TAG 15;SE018;02/02/2021 21:09
478693;4936;FONDO FILTRO HYGROLIFE II;20M0325FA;TAG 179;SE016;19/01/2021 00:35
478694;10084085;FONDO FILTRO HYGROBAC'S PP;20M0331FA;TAG 209;SE602;13/01/2021 08:46
478695;10084085;FONDO FILTRO HYGROBAC'S PP;20M0332FA;TAG 209;SE602;19/01/2021 02:58
478696;10004101;COPERCHIO BARR.S/HYGR.S IN PP;20M0333FA;TAG 234;ST312;12/01/2021 22:38
478697;10004101;COPERCHIO BARR.S/HYGR.S IN PP;20M0334FA;TAG 234;ST312;18/01/2021 21:32
478769;10138831;RACCORDO 15FLEX D.8,0-11.0;20M0337FA;TAG 10;SE002;19/01/2021 01:23
478771;10141370;RACC FLEX 15F X CONN.D.5,0-8;20M0339FA;TAG 10;SE002;19/01/2021 00:35
478772;3335;RACCORDO DIRITTO 22F/ TUBO P;20M0340FA;TAG 251;SE009;14/01/2021 21:52
478773;3335;RACCORDO DIRITTO 22F/ TUBO P;20M0341FA;TAG 251;SE009;19/01/2021 21:30
478774;3157;RACC.DRITTO 22M,22M/15F PRELIE;20M0342FA;TAG 3;SE002;11/01/2021 21:30
478775;3255;RACC.'L' 22M/15F,TUBO 'P' CON;20M0343FA;TAG 252;SE013;19/01/2021 01:31
478776;10004101;COPERCHIO BARR.S/HYGR.S IN PP;20M0344FA;TAG 234;SE607;19/01/2021 01:26
478777;3015;RACCORDO MASCHERA 22M;20M0345FA;TAG 208;SE018;19/01/2021 01:37
478779;4456;ADATTATORE MDI PER TY-CARE.48;20M0347FA;TAG 167;SE002;25/01/2021 21:11
478781;3191/B;RACC. DIRITTO 22F 22M/15F  B;20M0349FA;TAG 228;SE604;20/01/2021 21:56
478782;3187;RAC DIRITTO 22M 22F A;20M0351FA;TAG 228;SE604;13/01/2021 22:49
478783;3188;RACC.DIRITTO 22M 22M/15F;20M0352FA;TAG 228;SE604;20/01/2021 21:55
478784;3207/B;RACC. T 22M 22M 22M/15F B;20M0353FA;TAG 228;SE604;12/01/2021 21:24
478785;4800;COPERCHIO 22F/15M CON CONO;20M0354FA;TAG 153;SE601;25/01/2021 21:54
478786;3070;RACCORDO GIREVOLE PER TUBO P;20M0355FA;TAG 210-B;SE012;25/01/2021 21:28
478787;3069;RACC. GIREV. 15F/22M PER COBB;20M0356FA;TAG 210-B;SE012;19/01/2021 01:04
478788;3332;RACCORDO DIRITTO 15M/TUBO P;20M0357FA;TAG 21;SE023;25/01/2021 21:51
478789;3333;RACCORDO DIRITTO 15F / TUBO P;20M0358FA;TAG 251;SE009;26/01/2021 21:19
478790;3278;RACC. TRE VIE REBBI PARALLELI;20M0359FA;TAG 176-B;SE604;19/01/2021 01:30
478791;3292;RAC.3 VIE REBBI PARALL. T. EXT;20M0360FA;TAG 176-B;SE011;04/01/2021 21:56
478792;3276;RACC.3 VIE REBBI PARALLELI;20M0361FA;TAG 176-B;SE011;11/01/2021 22:01
478793;3306;RACC.DIRITTO 15F T.NEONATALE;20M0362FA;TAG 28;SE006;11/01/2021 21:42
478794;3307;RACC.DIRITTO 22F T.NEONATALE;20M0363FA;TAG 28;SE006;11/01/2021 21:41
478795;3053;CANNULA NAS.CON SEDE TUBO 4.2;20M0364FA;TAG 14;SE006;25/01/2021 21:31
478796;3384;FONDO FILTRO PROTEZ. MANOMETRI;20M0365FA;TAG 25;SE003;11/02/2021 21:47
478797;3385;COPERCHIO FILTRO PR.MANOMETRI;20M0366FA;TAG 25;SE003;11/02/2021 21:46
478799;4496;RACCORDO VENTURI 22F (10L-40%);20M0368FA;TAG 48;SE024;19/01/2021 01:32
478800;3340;RACC.DIRITTO 22M/15F,22M/VALV.;20M0369FA;TAG 94;SE015;14/01/2021 21:48
478801;3337;RAC.DRITTO 22M/19F,TUBO 'A'15F;20M0370FA;TAG 94;SE015;19/01/2021 01:27
478802;3327;TAPPO 22F;20M0371FA;TAG 94;SE017;27/01/2021 21:27
478803;3336;RACC. DIRITTO 22F,TUBO 'A'/15F;20M0372FA;TAG 94;SE017;01/02/2021 21:20
478804;4843;VALV.DIGITVENT 16CH TY-CARE AD;20M0373FA;TAG 187;SE014;19/01/2021 01:02
478805;PT00071262;COPERCHIO FILTRO STERIVENT CLEAR 22F;20M0374FA;TAG 37;SE026;12/01/2021 21:32
478806;3815;RACC.15M X TUBO TRACHEALE D.8;20M0375FA;TAG 24;SE019;27/01/2021 21:28
478807;3419;BOCCOLA RIDUZ.30 M X CONNETT.;20M0376FA;TAG 109;SE020;19/01/2021 00:39
478808;3898;RACCORDO ASPIRAZIONE 9,5 :9,5;20M0377FA;TAG 32;SE016;22/01/2021 02:11
478865;4360;RACCORDO TUBO 'P' CON SEDE;20M0382FA;TAG 158;SE019;04/01/2021 21:38
478961;4360;RACCORDO TUBO 'P' CON SEDE;20M0387FA;TAG 158;SE019;11/01/2021 21:42
478962;4154;TAPPO PER CONNETTORI 22M;20M0388FA;TAG 112;SE019;19/01/2021 00:53
478999;4848;DISCO X VALV.ROTATORIA TY-CARE;20M0390FA;TAG 185;SE019;12/01/2021 21:17
479001;4304;PORTA MAGNETE APL GEOMETRIC;20M0391FA;TAG 87;SE019;02/02/2021 21:13
479043;4842;VALV.DIGITVENT 14CH TY-CARE AD;21A0002FA;TAG 187;SE014;13/01/2021 22:48
479044;4462;COPERCHIO VALVOLA PER TY-CARE;21A0003FA;TAG 163;SE028;14/01/2021 21:51
479045;4552;ANELLO PORTA ELASTICO MASCH. 4;21A0004FA;TAG 82;SE028;19/01/2021 01:23
479046;3800;INSERT GUEDEL CANNULA SIZE 10 CM;21A0005FA;TAG 63;SE028;25/01/2021 21:30
479047;4467;RACCORDO ASSIALE 15M X TY-CARE;21A0006FA;TAG 198-B;SE023;19/01/2021 01:08
479082;3046;RACC FLEX DEHP FREE TUBO A 22F;21A0007FA;TAG 253;SE024;25/01/2021 21:10
479084;10119347;COPERCHIO HB'S/BB'S 22F PP;21A0009FA;TAG 58;SE026;28/01/2021 21:30
479085;3391;C. HYGROSTER,STERIVENT 22F/15M;21A0010FA;TAG 130;SE027;27/01/2021 21:25
479086;3069;RACC. GIREV. 15F/22M PER COBB;21A0011FA;TAG 210-B;SE012;25/01/2021 21:45
479087;3070;RACCORDO GIREVOLE PER TUBO P;21A0012FA;TAG 210-B;SE012;27/01/2021 21:31
479088;3391;C. HYGROSTER,STERIVENT 22F/15M;21A0013FA;TAG 130;SE027;01/02/2021 22:38
479090;4465;RACCORDO 22M-15F X TY-CARE;21A0015FA;TAG 173;SE016;26/01/2021 21:29
479091;3062;DOPPIO TAPPO PER COBB GIREVOLE;21A0016FA;TAG 41;SE003;25/01/2021 21:36
479092;PT00015826;BOCCOLA BLOCC. SACCA X TY-CARE PP;21A0017FA;TAG 196;SE016;02/02/2021 21:38
479115;PT00108833;GUEDEL CANNULA SIZE 7 CM;21A0027FA;TAG 64;SE011;01/02/2021 21:41
479118;3298;RACC.NEON.10M,10M,15,NEON.CON;21A0029FA;TAG 4;SE002;19/01/2021 21:32
479174;PT00015828;TAPPO INFERIORE DIGITVENT PP;21A0037FA;TAG 186;SE028;25/01/2021 21:57
479175;PT00015828;TAPPO INFERIORE DIGITVENT PP;21A0038FA;TAG 186;SE028;28/01/2021 21:24
479176;PT00015829;COPERCHIO SUPERIORE DIGITVENT PP;21A0039FA;TAG 186;SE028;25/01/2021 21:57
479177;PT00015829;COPERCHIO SUPERIORE DIGITVENT PP;21A0040FA;TAG 186;SE028;28/01/2021 21:25
479178;4438;TAPPO PER CORPO DIGITVENT;21A0041FA;TAG 126;SE002;02/02/2021 21:15
479180;4353;RAC. DISASSATO PER CIRCUITO;21A0043FA;TAG 125;SE009;02/02/2021 21:26
479181;4359;RACCORDO DIRITTO 22M/15F TUBO;21A0044FA;TAG 141;SE011;02/02/2021 21:07
479182;3292;RAC.3 VIE REBBI PARALL. T. EXT;21A0045FA;TAG 176-B;SE011;25/01/2021 21:35
479183;3347;RAC. 22F X TUBO CORRUGATO;21A0046FA;TAG 211-B;SE018;22/01/2021 02:14
479184;3345;RAC. BLU 22F X TUBO CORRUGATO;21A0047FA;TAG 211-B;SE018;27/01/2021 21:25
479223;4305;CIL.APL GEOM VALVE SENZA SC;21A0051FA;TAG 86;SE013;27/01/2021 21:30
479224;10119239;CORPO CENTRALE TRACHEOLIFE III;21A0052FA;TAG 230;SE015;12/01/2021 21:25
479230;10004105;FONDO BARRIERBAC'S 22M/15F PP;21A0053FA;TAG 60;SE007;19/01/2021 21:31
479236;10005252;RACC.'L' 15M-15F/22M CON LUER;21A0054FA;TAG 252;SE013;14/01/2021 21:49
479251;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0055FA;TAG 234;SE607;25/01/2021 21:29
479252;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0060FA;TAG 218;ST312;25/01/2021 07:21
479253;10084085;FONDO FILTRO HYGROBAC'S PP;21A0061FA;TAG 209;SE602;25/01/2021 11:44
479254;3068;CORPO COBB GIREVOLE;21A0062FA;TAG 229;SE601;02/02/2021 21:07
479255;3210;CONN TIPO T 22M/15F 22F 22M;21A0063FA;TAG 228;SE604;28/01/2021 21:29
479385;3335;RACCORDO DIRITTO 22F/ TUBO P;21A0074FA;TAG 251;SE009;25/01/2021 21:53
479386;3128;CORPO COBB FISSO 22M/15F CON;21A0075FA;TAG 39;SE009;01/02/2021 22:37
479387;4832;RACC.22M/15F X URM CARICO ALTO;21A0076FA;TAG 175;SE025;26/01/2021 21:28
479388;4838;RACC.22M/15F-22M X URM CAR.LAT;21A0077FA;TAG 175;SE013;10/02/2021 18:19
479390;10084085;FONDO FILTRO HYGROBAC'S PP;21A0078FA;TAG 117;SE015;25/01/2021 21:23
479391;10084085;FONDO FILTRO HYGROBAC'S PP;21A0079FA;TAG 209;SE602;02/02/2021 00:42
479443;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0081FA;TAG 257;SE606;25/01/2021 21:46
479444;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0082FA;TAG 257;SE606;25/01/2021 21:55
479445;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0083FA;TAG 257;SE606;26/01/2021 21:26
479446;10004105;FONDO BARRIERBAC'S 22M/15F PP;21A0084FA;TAG 257;SE606;25/01/2021 21:47
479447;10004105;FONDO BARRIERBAC'S 22M/15F PP;21A0085FA;TAG 257;SE606;25/01/2021 21:55
479448;10004105;FONDO BARRIERBAC'S 22M/15F PP;21A0086FA;TAG 257;SE606;26/01/2021 21:27
479528;4842;VALV.DIGITVENT 14CH TY-CARE AD;21A0092FA;TAG 187;SE014;01/02/2021 22:39
479580;3255;RACC.'L' 22M/15F,TUBO 'P' CON;21A0098FA;TAG 252;SE013;19/01/2021 21:35
479593;3390;FONDO FILTRO HYGROSTER 22M/15F;21A0099FA;TAG 38;SE023;22/02/2021 21:22
479594;4154;TAPPO PER CONNETTORI 22M;21A0104FA;TAG 112;SE019;22/01/2021 02:12
479602;10004105;FONDO BARRIERBAC'S 22M/15F PP;21A0106FA;TAG 60;SE007;25/01/2021 21:56
479613;3347;RAC. 22F X TUBO CORRUGATO;21A0107FA;TAG 211-B;SE018;26/01/2021 21:17
479614;10138834;BOCCAGLIO SPIROMETRIA OVALE;21A0108FA;TAG 81;SE006;26/01/2021 21:26
479620;3046;RACC FLEX DEHP FREE TUBO A 22F;21A0109FA;TAG 253;SE024;28/01/2021 21:31
479624;3207;CONN T 22M 22M 22M/15F A;21A0111FA;TAG 228;SE604;20/01/2021 21:55
479638;3337;RAC.DRITTO 22M/19F,TUBO 'A'15F;21A0112FA;TAG 94;SE015;19/01/2021 21:34
479640;3419;BOCCOLA RIDUZ.30 M X CONNETT.;21A0113FA;TAG 109;SE020;25/01/2021 21:50
479648;3393;ANIMA PORTA BOBINA HYGROSTER;21A0114FA;TAG 65;SE020;01/02/2021 22:41
479700;10004105;FONDO BARRIERBAC'S 22M/15F PP;21A0115FA;TAG 121;SE605;01/02/2021 21:32
479701;4936;FONDO FILTRO HYGROLIFE II;21A0116FA;TAG 179;SE016;20/01/2021 21:55
479708;3374;COPERCHIO HYGROBOY 22F/15M;21A0119FA;TAG 85;SE005;26/01/2021 21:25
479712;3371;COPERCHIO HYGROBABY 15M FORO;21A0120FA;TAG 85;SE005;01/02/2021 21:31
479714;3375;FONDO HYGROBOY CON 22M/15F;21A0122FA;TAG 84;SE005;04/02/2021 21:53
479717;3373;FONDO HYGROBABY CON 15F;21A0123FA;TAG 84;SE005;10/02/2021 17:56
479722;3263;RACCORDO 15M X VALV.GIREVOLE;21A0124FA;TAG 252;SE013;28/01/2021 21:40
479724;3248;RACC. CATETERE 15F/22M-TUBO P;21A0125FA;TAG 252;SE013;04/02/2021 21:32
479725;10005252;RACC.'L' 15M-15F/22M CON LUER;21A0126FA;TAG 252;SE013;01/02/2021 22:45
479726;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0127FA;TAG 218;ST312;31/01/2021 07:55
479750;4800;COPERCHIO 22F/15M CON CONO;21A0131FA;TAG 153;SE601;25/01/2021 21:29
479755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0132FA;TAG 218;ST312;08/02/2021 15:20
479756;10004101;COPERCHIO BARR.S/HYGR.S IN PP;21A0133FA;TAG 218;ST312;17/02/2021 01:53
479757;10139856;FONDO HBAC/BBAC PP 22F/15M;21A0134FA;TAG 178;SE017;10/02/2021 18:07
479758;10139858;FONDO BBAC PP 22F;21A0135FA;TAG 178;SE017;10/02/2021 18:10
479759;10139855;COPERCHIO HBAC PP 22M/15F;21A0136FA;TAG 31;SE025;01/02/2021 22:42
479760;10139857;COPERCHIO BBAC PP 22M/15F;21A0138FA;TAG 31;SE025;10/02/2021 16:54
479761;3279;RAC.3 VIE REBBI PARALL.22M/15F;21A0139FA;TAG 176-B;SE604;18/02/2021 22:08
479762;3278;RACC. TRE VIE REBBI PARALLELI;21A0148FA;TAG 176-B;SE604;04/02/2021 21:30
479763;3031;COP. NEBULIZZATORE AD UOVO 22F;21A0149FA;TAG 213;SE007;02/02/2021 21:35
479764;3850;CORPO TRACHEOLIFE 2;21A0150FA;TAG 219;SE608;09/02/2021 11:33
479765;3850;CORPO TRACHEOLIFE 2;21A0151FA;TAG 219;SE608;08/02/2021 18:57
479766;3395;COPERCHIO FILTRO STERIVENT,;21A0153FA;TAG 37;SE026;03/02/2021 21:57
479770;3388;FONDO FILTRO STERIVENT 'S';21A0155FA;TAG 38;SE023;15/02/2021 21:44
479771;3389;FONDO FILTRO STERIVENT 22M/15F;21A0156FA;TAG 38;SE023;10/02/2021 18:22
479776;3394;FONDO FILTRO STERIVENT;21A0161FA;TAG 38;SE023;10/02/2021 18:24
479777;3390;FONDO FILTRO HYGROSTER 22M/15F;21A0162FA;TAG 38;SE023;24/02/2021 21:18
479778;3367;COPERCHIO NUOVO FILTRO PED.;21A0163FA;TAG 128;SE026;17/02/2021 21:10
479780;3369;FONDO FILTRO STERIVENT MINI;21A0165FA;TAG 133;SE006;15/02/2021 21:34
479781;3369;FONDO FILTRO STERIVENT MINI;21A0166FA;TAG 133;SE006;22/02/2021 22:07
479782;10084085;FONDO FILTRO HYGROBAC'S PP;21A0167FA;TAG 209;SE602;09/02/2021 19:57
479783;10084085;FONDO FILTRO HYGROBAC'S PP;21A0168FA;TAG 117;SE015;01/02/2021 21:29
479784;10084085;FONDO FILTRO HYGROBAC'S PP;21A0169FA;TAG 209;SE602;17/02/2021 09:33
479790;PT00108836;GUEDEL CANNULA SIZE 10 CM;21A0175FA;TAG 143;SE010;10/02/2021 18:34
479791;3800;INSERT GUEDEL CANNULA SIZE 10 CM;21A0176FA;TAG 63;SE002;28/01/2021 21:22
479807;3062;DOPPIO TAPPO PER COBB GIREVOLE;21A0199FA;TAG 41;SE003;02/02/2021 21:09
479841;4300;CILINDRO .APL GEOM.VALVE+SC.;21A0200FA;TAG 86;SE013;22/01/2021 02:12
479842;3069;RACC. GIREV. 15F/22M PER COBB;21A0201FA;TAG 210-B;SE012;02/02/2021 21:27
479843;3332;RACCORDO DIRITTO 15M/TUBO P;21A0202FA;TAG 21;SE012;10/02/2021 17:59
479844;PT00108835;GUEDEL CANNULA SIZE 9 CM;21A0204FA;143;SE010;17/02/2021 21:08
479845;PT00108834;GUEDEL CANNULA SIZE 8 CM;21A0205FA;TAG 143;SE010;25/01/2021 22:03
479859;3353;COPERCHIO RACCOGLICOND.TUBO A;21A0206FA;TAG 17;SE018;10/02/2021 16:41
